quarter_start_date,year,quarter,quarter_num,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2020-04-01,2020,Q2,2,82.03265929935942,133285.73510753002,8.441013085285415e-4,0.02833838302986292,133285.73510753002,Medium_Cost,0,132335.93082344,129612.720197044,112.41177648404846,3673.014910486032,450.88661546129657
2020-07-01,2020,Q3,3,83.71110351644965,136012.85224871003,0.02046068275033158,0.02778475507287474,136012.85224871003,Medium_Cost,0,132623.47997967803,132335.93082344,2727.1171411800024,3676.921425270033,1520.4572428207625
2020-10-01,2020,Q4,4,85.89620776478725,139563.18486639895,0.02610292012108299,0.05232636700367854,139563.18486639895,Medium_Cost,0,133173.32333104598,132623.47997967803,3550.332617688924,6939.704886720923,3004.91675419627
2021-01-01,2021,Q1,1,86.83379952342763,141086.57332958604,0.01091540340416217,0.05942068426774139,141086.57332958604,Medium_Cost,0,133285.73510753002,133173.32333104598,1523.3884631870897,7913.249998540065,3516.2105556035563
2021-04-01,2021,Q2,2,89.88514278485768,146044.361278175,0.03514004083866905,0.09572386842711526,146044.361278175,High_Cost,1,136012.85224871003,133285.73510753002,4957.787948588957,12758.626170644973,4162.177936934945
2021-07-01,2021,Q3,3,92.66597199884752,150562.62106837097,0.03093758465340407,0.10697348507224246,150562.62106837097,High_Cost,1,139563.18486639895,136012.85224871003,4518.259790195967,14549.768819660938,5000.864679184597
2021-10-01,2021,Q4,4,92.65171731770658,150539.460224009,-1.538286474901228e-4,0.07864735508950751,150539.460224009,High_Cost,1,141086.57332958604,139563.18486639895,-23.160844361962518,10976.275357610051,4512.51348307228
2022-01-01,2022,Q1,1,95.4496960048278,155085.584283785,0.03019888641164464,0.0992228432786202,155085.584283785,High_Cost,1,146044.361278175,141086.57332958604,4546.12405977599,13999.010954198951,3691.084711180048
2022-04-01,2022,Q2,2,98.6057614103409,160213.523585205,0.03306522218104767,0.09701957804479704,160213.523585205,High_Cost,1,150562.62106837097,146044.361278175,5127.939301420003,14169.162307029997,4602.066197413307
2022-07-01,2022,Q3,3,102.39046535461588,166362.867659694,0.03838217858817805,0.10494136246570966,166362.867659694,High_Cost,1,150539.460224009,150562.62106837097,6149.344074488996,15800.246591323026,6806.383542461286
2022-10-01,2022,Q4,4,102.00027341551672,165728.88821931,-0.00381082298774392,0.10089997647591945,165728.88821931,High_Cost,1,155085.584283785,150539.460224009,-633.9794403839915,15189.427995300997,5286.684610162767
2023-01-01,2023,Q1,1,100,162478.866643997,-0.01961047111480023,0.04767227330867595,162478.866643997,High_Cost,1,160213.523585205,155085.584283785,-3250.0215753130033,7393.282360212004,2878.3023472811647
2023-04-01,2023,Q2,2,101.2977289772377,164587.401978323,0.01297728977237696,0.02730030708544869,164587.401978323,High_Cost,1,166362.867659694,160213.523585205,2108.5353343260067,4373.878393118008,1706.6347134286175
2023-07-01,2023,Q3,3,104.46059654915584,169726.39336262597,0.03122347957700882,0.02021800748116869,169726.39336262597,High_Cost,1,165728.88821931,166362.867659694,5138.991384302964,3363.5257029319764,3044.4960679134088
2023-10-01,2023,Q4,4,103.49496677610676,168157.449051399,-0.00924396188561581,0.01465381719616713,168157.449051399,High_Cost,1,162478.866643997,165728.88821931,-1568.94431122698,2428.560832088988,3301.955452892618
2024-01-01,2024,Q1,1,104.05041145210136,169059.92926578998,0.00536687621917126,0.04050411452101372,169059.92926578998,High_Cost,1,164587.401978323,162478.866643997,902.480214390991,6581.062621792982,2289.071865599049
2024-04-01,2024,Q2,2,107.96372694051676,175418.239919571,0.03760980311180063,0.06580599615196654,175418.239919571,High_Cost,1,169726.39336262597,164587.401978323,6358.310653781024,10830.837941247999,3282.07945783605
2024-07-01,2024,Q3,3,111.07119978208692,180467.226573824,0.02878256364086293,0.06328322306507535,180467.226573824,High_Cost,1,168157.449051399,169726.39336262597,5048.986654253007,10740.833211198042,5781.515009774603
2024-10-01,2024,Q4,4,112.21128771943958,182319.62853318,0.01026447845696656,0.08421975691039209,182319.62853318,High_Cost,1,169059.92926578998,168157.449051399,1852.4019593559788,14162.179481781,5936.658676922788
2025-01-01,2025,Q1,1,113.44357398485216,184321.833291032,0.01098183872992931,0.09027511185839804,184321.833291032,High_Cost,1,175418.239919571,169059.92926578998,2002.2047578520142,15261.904025242024,3815.4686891099095
2025-04-01,2025,Q2,2,114.14122817932846,185455.373919311,0.00614979033161857,0.05721830297888147,185455.373919311,High_Cost,1,180467.226573824,175418.239919571,1133.5406282790063,10037.133999740006,2204.1180639624367
2025-07-01,2025,Q3,3,118.89453114863944,193178.48671200295,0.0416440496140711,0.07043528279068992,193178.48671200295,High_Cost,1,182319.62853318,180467.226573824,7723.1127926919435,12711.260138178943,4753.316555755177
2025-10-01,2025,Q4,4,120.59144280538546,195935.609539834,0.01427241135779897,0.07468192600105139,195935.609539834,High_Cost,1,184321.833291032,182319.62853318,2757.1228278310446,13615.981006654009,5713.205165013628
