quarter_start_date,year,quarter,quarter_num,quarterly_births,emp_rate,emp_at_conception,emp_momentum_lag3,emp_volatility_lag3,emp_regime_at_conception,is_emp_peak_at_conception,he_pct,fe_pct,total_girls,he_at_conception,fe_at_conception,is_edu_covid_grading,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2018-01-01,2018,Q1,1,5368,67,66.5,1.4000000000000057,0.8041558721209905,Transition,0,50.900000000000006,32.2,10589.5,50.9,32.025,0,75.8880825019512,123302.096367032,0.00532628961661221,0.04412278273442937,123302.096367032,Medium_Cost,0,120355.919596328,118091.567779144,653.2632065530051,5210.5285878880095,1265.222151793055
2018-04-01,2018,Q2,2,5715,67.2,64.2,-2.799999999999997,1.0551461194229612,Transition,0,50.8,32.3,10485.25,51.1,32,0,76.9384179416575,125008.669485427,0.01384058478061158,0.03865825548676218,125008.669485427,Medium_Cost,0,121964.167394807,120355.919596328,1706.5731183949974,4652.7498890989955,1304.983596039951
2018-07-01,2018,Q3,3,6025,65.6,65.2,-1,0.9469248474227852,Transition,0,50.7,32.4,10381,51,32.1,0,78.40869145982639,127397.553234314,0.01910974461788116,0.04454903399552279,127397.553234314,Medium_Cost,0,122648.833160479,121964.167394807,2388.8837488869904,5433.385839506998,2120.099191136966
2018-10-01,2018,Q4,4,5709,67,67,1.9000000000000057,1.2685293322058668,Transition,0,50.325,32.175,10450.75,50.900000000000006,32.2,0,79.65781854225776,129427.12076079202,0.01593097728293778,0.05526581399631921,129427.12076079202,Medium_Cost,0,123302.096367032,122648.833160479,2029.567526478029,6778.287600313022,2685.6052106144866
2019-01-01,2019,Q1,1,5424,68,67.2,0.7000000000000028,1.4468356276140462,Transition,0,49.95,31.95,10520.5,50.8,32.3,0,78.8830639136432,128168.30822094702,-0.00972603371260485,0.03946576738995862,128168.30822094702,Medium_Cost,0,125008.669485427,123302.096367032,-1258.8125398450063,4866.211853915011,1859.897192093658
2019-04-01,2019,Q2,2,5489,69,65.6,1.3999999999999917,0.9983319421247968,Transition,0,49.575,31.725,10590.25,50.7,32.4,0,79.77204843571145,129612.720197044,0.01126965001057092,0.03682985132606566,129612.720197044,Medium_Cost,0,127397.553234314,125008.669485427,1444.411976096977,4604.05071161699,1053.785018580827
2019-07-01,2019,Q3,3,5940,68.2,67,1.7999999999999972,0.739369100427298,Transition,0,49.2,31.5,10660,50.325,32.175,0,81.44808833101844,132335.93082344,0.02101036551239763,0.03876351989306344,132335.93082344,Medium_Cost,0,129427.12076079202,127397.553234314,2723.2106263960013,4938.377589126001,1754.7913544300409
2019-10-01,2019,Q4,4,5576,68.8,68,1,0.9983319421247986,High_Intensity,0,50.85,30.5,10543.75,49.95,31.95,0,81.62506467395869,132623.47997967803,0.00217287288832353,0.02469620895602766,132623.47997967803,Medium_Cost,0,128168.30822094702,129427.12076079202,287.5491562380339,3196.3592188860057,2157.6838395023055
2020-01-01,2020,Q1,1,5332,66.9,69,1.7999999999999972,1.4514360704718186,High_Intensity,0,52.5,29.5,10427.5,49.575,31.725,1,81.96347382385316,133173.32333104598,0.00414589747948388,0.03905033295337295,133173.32333104598,Medium_Cost,0,129612.720197044,128168.30822094702,549.8433513679483,5005.015110098961,1587.5737175114832
2020-04-01,2020,Q2,2,5155,65.3,68.2,2.6000000000000085,0.8225975119502045,High_Intensity,0,54.15,28.5,10311.25,49.2,31.5,1,82.03265929935942,133285.73510753002,8.441013085285415e-4,0.02833838302986292,133285.73510753002,Medium_Cost,0,132335.93082344,129612.720197044,112.41177648404846,3673.014910486032,450.88661546129657
2020-07-01,2020,Q3,3,5638,66,68.8,1.7999999999999972,0.47609522856952213,High_Intensity,0,55.8,27.5,10195,50.85,30.5,1,83.71110351644965,136012.85224871003,0.02046068275033158,0.02778475507287474,136012.85224871003,Medium_Cost,0,132623.47997967803,132335.93082344,2727.1171411800024,3676.921425270033,1520.4572428207623
2020-10-01,2020,Q4,4,5330,65,66.9,-1.0999999999999943,0.9464847243000424,Transition,0,55.925,27.175,10278,52.5,29.5,1,85.89620776478725,139563.18486639895,0.02610292012108299,0.05232636700367854,139563.18486639895,Medium_Cost,0,133173.32333104598,132623.47997967803,3550.332617688924,6939.704886720923,3004.91675419627
2021-01-01,2021,Q1,1,5266,66.8,65.3,-3.700000000000003,1.5513435037626797,Transition,0,56.05,26.85,10361,54.15,28.5,1,86.83379952342763,141086.57332958604,0.01091540340416217,0.05942068426774139,141086.57332958604,Medium_Cost,0,133285.73510753002,133173.32333104598,1523.3884631870897,7913.249998540065,3516.2105556035563
2021-04-01,2021,Q2,2,5218,68.6,66,-2.200000000000003,1.5154757228892404,Transition,0,56.175,26.525,10444,55.8,27.5,1,89.88514278485768,146044.361278175,0.03514004083866905,0.09572386842711526,146044.361278175,High_Cost,1,136012.85224871003,133285.73510753002,4957.787948588957,12758.626170644971,4162.177936934945
2021-07-01,2021,Q3,3,5874,68.1,65,-3.799999999999997,0.8445906306213314,Transition,0,56.3,26.2,10527,55.925,27.175,1,92.66597199884752,150562.62106837097,0.03093758465340407,0.10697348507224246,150562.62106837097,High_Cost,1,139563.18486639895,136012.85224871003,4518.259790195967,14549.768819660938,5000.864679184597
2021-10-01,2021,Q4,4,5534,67.3,66.8,-0.10000000000000853,0.8015609770940693,Transition,0,54.974999999999994,26.425,10732,56.05,26.85,1,92.65171731770658,150539.460224009,-1.538286474901228e-4,0.07864735508950751,150539.460224009,High_Cost,1,141086.57332958604,139563.18486639895,-23.16084436196252,10976.275357610051,4512.51348307228
2022-01-01,2022,Q1,1,5052,67.1,68.6,3.299999999999997,1.5231546211727789,High_Intensity,0,53.65,26.65,10937,56.175,26.525,1,95.4496960048278,155085.584283785,0.03019888641164464,0.0992228432786202,155085.584283785,High_Cost,1,146044.361278175,141086.57332958604,4546.12405977599,13999.010954198951,3691.084711180048
2022-04-01,2022,Q2,2,4996,66.4,68.1,2.0999999999999943,1.607015867998817,High_Intensity,0,52.325,26.875,11142,56.3,26.2,1,98.6057614103409,160213.523585205,0.03306522218104767,0.09701957804479704,160213.523585205,High_Cost,1,150562.62106837097,146044.361278175,5127.939301420003,14169.162307029996,4602.066197413307
2022-07-01,2022,Q3,3,5378,67.3,67.3,2.299999999999997,0.8041558721209864,Transition,0,51,27.1,11347,54.974999999999994,26.425,1,102.39046535461588,166362.867659694,0.03838217858817805,0.10494136246570966,166362.867659694,High_Cost,1,150539.460224009,150562.62106837097,6149.344074488996,15800.246591323026,6806.383542461286
2022-10-01,2022,Q4,4,5092,68.4,67.1,0.29999999999999716,0.699404508611909,Transition,0,50.525,27.875,11340,53.65,26.65,1,102.00027341551672,165728.88821931,-0.00381082298774392,0.10089997647591945,165728.88821931,High_Cost,1,155085.584283785,150539.460224009,-633.9794403839915,15189.427995300995,5286.684610162767
2023-01-01,2023,Q1,1,4821,68.1,66.4,-2.1999999999999886,0.6994045086119052,Transition,0,50.05,28.65,11333,52.325,26.875,1,100,162478.866643997,-0.01961047111480023,0.04767227330867595,162478.866643997,High_Cost,1,160213.523585205,155085.584283785,-3250.0215753130033,7393.282360212004,2878.3023472811647
2023-04-01,2023,Q2,2,4762,68.4,67.3,-0.7999999999999972,0.4272001872658722,Transition,0,49.575,29.425,11326,51,27.1,1,101.2977289772377,164587.401978323,0.01297728977237696,0.02730030708544869,164587.401978323,High_Cost,1,166362.867659694,160213.523585205,2108.5353343260067,4373.878393118008,1706.6347134286175
2023-07-01,2023,Q3,3,5205,68.7,68.4,1.1000000000000083,0.8286535263104045,High_Intensity,0,49.1,30.2,11319,50.525,27.875,1,104.46059654915584,169726.39336262597,0.03122347957700882,0.02021800748116869,169726.39336262597,High_Cost,1,165728.88821931,166362.867659694,5138.991384302964,3363.5257029319764,3044.4960679134088
2023-10-01,2023,Q4,4,5081,69.5,68.1,1,0.8962886439832486,High_Intensity,0,48.85,30.5,11411.5,50.05,28.65,1,103.49496677610676,168157.449051399,-0.00924396188561581,0.01465381719616713,168157.449051399,High_Cost,1,162478.866643997,165728.88821931,-1568.94431122698,2428.560832088988,3301.955452892618
2024-01-01,2024,Q1,1,4758,70,68.4,2,0.5196152422706669,High_Intensity,0,48.6,30.799999999999997,11504,49.575,29.425,1,104.05041145210136,169059.92926578998,0.00536687621917126,0.04050411452101372,169059.92926578998,High_Cost,1,164587.401978323,162478.866643997,902.480214390991,6581.062621792982,2289.071865599049
2024-04-01,2024,Q2,2,4721,70.4,68.7,1.4000000000000057,0.2449489742783213,High_Intensity,0,48.35,31.1,11596.5,49.1,30.2,1,107.96372694051676,175418.239919571,0.03760980311180063,0.06580599615196654,175418.239919571,High_Cost,1,169726.39336262597,164587.401978323,6358.310653781024,10830.837941248,3282.07945783605
2024-07-01,2024,Q3,3,5020,68.9,69.5,1.0999999999999943,0.6020797289396157,High_Intensity,1,48.1,31.4,11689,48.85,30.5,1,111.07119978208692,180467.226573824,0.02878256364086293,0.06328322306507535,180467.226573824,High_Cost,1,168157.449051399,169726.39336262597,5048.986654253007,10740.833211198042,5781.515009774603
2024-10-01,2024,Q4,4,4726,68.7,70,1.9000000000000057,0.7325753658611945,High_Intensity,1,48.1,31.4,11689,48.6,30.799999999999997,1,112.21128771943958,182319.62853318,0.01026447845696656,0.08421975691039209,182319.62853318,High_Cost,1,169059.92926578998,168157.449051399,1852.4019593559788,14162.179481781,5936.658676922788
